#                 Img pair name                            |      DOB        |        FDT     |      ARt    |     XBPt   |       CHt    |       BGt      |    AR%    |    XBP%      |     CH%   |      BG%     |    n_AR    |     nXBP    |     nCH    |    XBPa   |   conversion%  |   shape
comp_XRT20080201_181156.9.fitscomp_XRT20080201_181112.3.fits 2008.088317 1102739.1889949737 1498063.0422995887 1132703.5330028522 956522.819864282 1087278.0335137537 5.016981688850461 1.7751369667719448 0.32795956556102607 92.87992177881665 2 145 9 43523 97.88 2048
comp_XRT20080202_102109.1.fitscomp_XRT20080202_102122.6.fits 2008.090161 1112138.1477993238 1494804.508333443 1170633.0981347028 960719.5058200298 1099658.256890264 4.455157403501347 1.9088776528449674 1.1843928080013257 92.45157213565237 2 124 4 11682 99.92 1024
comp_XRT20080202_180108.7.fitscomp_XRT20080202_180122.2.fits 2008.091035 1115921.2832484003 1501563.856677575 1171630.5879455956 944661.0257787029 1103932.2763843474 4.432668848440903 1.9510246112920733 1.2585620609643398 92.3577444793027 2 106 1 11864 99.91 1024
comp_XRT20080203_000138.4.fitscomp_XRT20080203_000151.9.fits 2008.09172 1113477.6355871924 1472374.8680149633 1165862.152486961 948497.0377461578 1101809.6464405367 4.38564761481699 1.7956900509971623 0.9561010097590696 92.8625613244267 2 112 2 10951 99.93 1024
comp_XRT20080203_060208.5.fitscomp_XRT20080203_060222.0.fits 2008.092406 1117681.778402766 1476252.9947675758 1193122.296765901 934819.6640890179 1105974.2374836812 4.077301527255894 2.428284169198967 0.8332864223021574 92.66112788124302 1 115 2 14656 99.94 1024
comp_XRT20080203_100708.4.fitscomp_XRT20080203_100721.9.fits 2008.092872 1121442.9938494721 1486041.5068011845 1194569.3388620059 945304.7631111323 1110025.3851936795 3.9122348249844423 2.1895321009815527 0.7274790457609067 93.17075402827317 1 109 3 13240 99.91 1024
comp_XRT20080203_180337.8.fitscomp_XRT20080203_180351.4.fits 2008.093777 1120324.1922159495 1477724.7945558298 1173370.1320233876 940963.944669342 1108703.3118383153 3.964837272353426 2.2754489343140034 0.43888047057602053 93.32083332275654 1 99 5 13995 99.92 1024
comp_XRT20080204_000708.1.fitscomp_XRT20080204_000721.6.fits 2008.094469 1127374.9924526538 1466185.1735251856 1213898.9322485658 947849.5718263383 1115008.3165506404 4.086178440397135 2.3815772074701003 0.429712962901025 93.10253138923176 2 107 3 14242 99.88 1024
comp_XRT20080204_053437.6.fitscomp_XRT20080204_053451.1.fits 2008.095091 1121659.5243104836 1451560.4942841416 1188924.7315598065 951858.3108371651 1111060.0596810768 3.8375840952327307 2.1084935119541472 0.5579021517899165 93.49602024102315 1 102 3 12811 99.9 1024
comp_XRT20080204_104439.7.fitscomp_XRT20080204_104453.2.fits 2008.09568 1112117.2016759953 1464623.3871281499 1169535.1669257497 916803.9239710373 1099828.20000527 4.320885631551259 2.0572797561660376 0.46994355335553145 93.1518910589272 2 116 4 12488 99.9 1024
comp_XRT20080204_182509.4.fitscomp_XRT20080204_182522.9.fits 2008.096557 1106100.408493028 1439533.0292960156 1170574.8346580248 937919.2840464228 1095030.1957632427 3.8824971967271282 2.2370477426578534 0.43388955455309797 93.44656550606192 1 113 5 13616 99.92 1024
comp_XRT20080205_000209.0.fitscomp_XRT20080205_000222.5.fits 2008.097198 1100272.7028341398 1434588.4629213098 1163819.3445642765 924383.8211797738 1088394.8043253503 4.111932589986371 2.610529028678287 0.46176247631119743 92.81577590502413 1 117 5 15761 99.94 1024
comp_XRT20080205_055609.1.fitscomp_XRT20080205_055622.6.fits 2008.097871 1099416.6941926903 1421602.1736279873 1149177.3475962675 940919.7636447299 1087910.478913264 4.498569837122341 2.391813107773555 0.876249994931104 92.23336706017301 2 109 6 14612 99.93 1024
comp_XRT20080205_103509.6.fitscomp_XRT20080205_103523.1.fits 2008.098401 1095833.7657968996 1398084.1548819381 1156553.9527204044 934301.3974641215 1085616.3422179176 4.285061857980896 2.4962214587863065 1.1016476267309707 92.11706905650178 2 117 9 15105 99.94 1024
comp_XRT20080206_105539.1.fitscomp_XRT20080206_105552.6.fits 2008.101177 1070462.9538613511 1386926.0285939071 1146157.0602324842 916284.8045672836 1062252.3313692783 4.115543780492582 2.856358206484137 2.5455556708910465 90.4825423421322 2 132 8 17026 99.88 1024
comp_XRT20080224_095041.2.fitscomp_XRT20080224_095106.7.fits 2008.150335 1030618.5471677488 0.0 1129387.8685973217 938370.0175735857 1027285.192182768 0.0 3.7588661760605255 0.1729625149283644 96.06817130901119 0 201 14 85823 98.11 2048
comp_XRT20080226_235912.5.fitscomp_XRT20080226_235938.0.fits 2008.157425 1065846.0585047083 1347062.6213262738 1110649.6748159416 946059.9093247086 1055694.543182305 3.8471521367135386 3.0382158227238403 0.2591235861958839 92.85550845436681 3 199 14 71440 96.5 2048
comp_XRT20080227_234711.7.fitscomp_XRT20080227_234737.3.fits 2008.16014 1080204.9780262446 1339343.184117688 1127646.4487155876 951766.277804306 1071605.891847356 3.5479299191402665 2.3474910862281573 0.23699355010684517 93.86758544452479 3 243 10 54451 95.37 2048
comp_XRT20080229_000443.1.fitscomp_XRT20080229_000508.6.fits 2008.16291 1070923.130673639 1175558.9762440843 911552.2958694713 925070.9461741839 1074481.79236663 1.4762516141323103 2.167631796511024 0.44448880755818726 95.91162778179846 1 215 12 57359 88.71 2048
comp_XRT20080321_060207.0.fitscomp_XRT20080321_060229.0.fits 2008.225192 1012031.1692306855 0.0 1104467.836046234 901952.2343960694 1012533.1179368343 0.0 3.6624465365042322 2.868479565941524 93.48476347653168 0 188 3 21060 99.97 1024
